name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Bancroft Way,tertiary,two_lane,2,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,2048,1224,2217.984,1224.0,2237.129644739013,36.51629216997308,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1627,839,1762.0409999999997,839.0,1940.0064828524226,164.2476189757839,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1942,874,2103.1859999999997,874.0,1940.0064828524226,149.6941372419451,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1627,839,1762.0409999999997,839.0,1940.0064828524226,164.2476189757839,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5220,2801,5653.259999999999,2801.0,0.0,82.87318305488552,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4269,2154,4623.326999999999,2154.0,0.0,44.169108819040034,False,False,True
Piedmont Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4973,2510,5385.758999999999,2510.0,0.0,81.06921729207055,True,False,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,58.51279637273872,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,155.03958783129082,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,308.2048472491639,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,3182.31,1.41436,F,3,1861.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,116.51764232747138,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,3182.31,1.41436,F,3,1861.0,catchment_based,2799,14066,3031.3169999999996,14066.0,0.0,134.65906492151865,False,True,True
Stannage Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,28734.84,25.54208,F,35,16804.0,catchment_based,4665,6858,5052.195,6858.0,0.0,65.94396302870265,False,False,True
